epoch,train_loss,val_loss,val_acc,val_f1,elapsed_s
1,0.4266,0.1405,0.7789,0.5217,324.4
2,0.1648,0.0722,0.8939,0.6525,322.4
3,0.1165,0.0411,0.9278,0.7059,325.8
4,0.0917,0.0358,0.9443,0.7437,324.9
5,0.0774,0.0321,0.9457,0.7537,324.5
6,0.0678,0.0429,0.9319,0.7180,324.3
7,0.0622,0.0296,0.9549,0.7770,319.9
8,0.0556,0.0299,0.9589,0.7974,332.0
9,0.0517,0.0256,0.9632,0.8007,344.0
10,0.0469,0.0232,0.9697,0.8222,353.9
11,0.0442,0.0239,0.9748,0.8447,345.7
12,0.0424,0.0250,0.9665,0.8304,346.5
13,0.0392,0.0208,0.9746,0.8464,329.8
14,0.0372,0.0237,0.9680,0.8174,343.6
15,0.0336,0.0239,0.9743,0.8524,339.2
16,0.0313,0.0202,0.9777,0.8731,347.2
17,0.0292,0.0183,0.9831,0.8933,342.5
18,0.0274,0.0194,0.9831,0.8969,346.2
19,0.0268,0.0204,0.9810,0.8868,345.1
20,0.0250,0.0196,0.9843,0.8958,342.4
21,0.0232,0.0197,0.9820,0.8914,342.2
22,0.0223,0.0183,0.9841,0.8993,345.3
23,0.0214,0.0184,0.9831,0.8949,345.2
24,0.0207,0.0184,0.9851,0.9023,340.6
25,0.0192,0.0176,0.9872,0.9114,333.4
26,0.0195,0.0185,0.9855,0.9026,326.5
27,0.0185,0.0179,0.9864,0.9096,333.6
28,0.0187,0.0181,0.9865,0.9098,340.0
29,0.0183,0.0179,0.9863,0.9085,340.9
30,0.0183,0.0177,0.9858,0.9070,337.9
